created_at,mentionee,mentioner,retweet,category,category_mentionee,text
2022-03-27,AmbLiuXiaoMing,BeehiveChina,retweeted,Neither,Diplomat,"@AmbLiuXiaoMing  met with FM Sergey Lavrov @mfa_russia in #Moscow. They exchanged views on the situation on the #KoreanPeninsula, believing maintaining #peace&amp; #stability on the Peninsula is in the interest of both #China and #Russia.  🇨🇳🇷🇺
https://t.co/56x8Z5To1q"
2022-03-26,AmbLiuXiaoMing,BeehiveChina,retweeted,Neither,Diplomat,Glad to meet with Foreign Minister Sergei Lavrov of Russia.@mfa_russia We had an in-depth discussion on the Korean Peninsula situation and international issues of mutual concern.🇨🇳🇷🇺 https://t.co/dlexwqYA6E
2021-12-05,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"#MediaUnlocked ""If China or the Chinese government is saying something scientific, are you suggesting that we should oppose science? Dismissing anything China said as propaganda will only harm us, it will not harm China"", said German vlogger @NavinaHeyden. https://t.co/52p9s0hpNm"
2021-11-05,ChinaDaily,BeehiveChina,retweeted,Neither,Media,The First Committee of the 76th United Nations General Assembly passed a draft resolution on arms control submitted by China on Wednesday. #UN https://t.co/KAB9W0fgJm
2021-09-07,ChinaDaily,BeehiveChina,replied_to,Neither,Media,@KokOAlak9 @ChinaDaily Shocking.. Is this verified?
2021-09-06,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"Guinea's special forces soldiers claim to have taken full control of the country in a coup attempt aimed at ousting long-serving president Conde and establishing a new government. #GuineaCoup
#GuineaConakry https://t.co/X0v1QgzS2T"
2021-08-24,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"Next time you're in Jianfengling National Forest Park in Ledong, South China's Hainan province, don't miss the stunning #sunrise from the mountain top. The park is home to a large rainforest. https://t.co/FIMfQt6b1w"
2021-08-06,ChinaDaily,BeehiveChina,retweeted,Neither,Media,#FACTS A TV program reveals that the US had a pandemic exercise the same day the Wuhan Military World Games opened in 2019. The topic has been trending on Chinese social media and netizens call for more transparency in tracing the origin of COVID_19. #coronavirus https://t.co/a3JOYn3sPM
2021-07-21,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"More than 144,660 residents have been affected by torrential rains in Central China's Henan province since July 16, and 10,152 have been relocated to safe places, the provincial #flood control and drought relief headquarters said Tuesday. https://t.co/TwVEdstKOK"
2021-06-03,ChinaDaily,BeehiveChina,retweeted,Neither,Media,Happy birthday! #ChinaDailyCartoon https://t.co/J6xLJmIHa6
2021-06-01,ChinaDaily,BeehiveChina,retweeted,Neither,Media,"Photos show birds at Hlawga Wildlife Park on outskirts of Yangon, Myanmar. https://t.co/iwUReu6qSz"
